xIn	GammaC_Eshift	L_Eshift	X_Eshift	GammaC_m	L_ml	L_mt	X_ml	X_mt	GammaC_alpha	L_alpha	X_alpha	GammaC_Xi_d	L_Xi_d	L_Xi_u	X_Xi_d	X_Xi_u	gamma1	gamma2	gamma3	DeltaSO	a_v	b	d
0	0.0	0.292428774	0.483059421	0.065145329	1.520827269	0.128922458	1.714117366	0.259939621	1.0	0.5	0.5	-11.0	-2.0	14.1	1.1	9.3	7.022692148	2.266846009	2.985703025	0.347	-0.85	-1.85	-5.10
0.1	0.0	0.330622306	0.52658549	0.060193227	1.519035208	0.127146917	1.919660922	0.258487347	1.0	0.5	0.5	-10.9	-2.0	13.6	1.1	8.8	7.276999141	2.359167796	3.107090379	0.35174	-0.67	-1.85	-4.95
0.2	0.0	0.369299557	0.570951846	0.055216986	1.520901154	0.125319325	2.223497317	0.259869336	1.0	0.5	0.5	-10.8	-2.0	13.2	1.2	8.3	7.710250086	2.553063803	3.312820352	0.35648	-0.48	-1.84	-4.80
0.3	0.0	0.40857396	0.616776144	0.05087358	1.526610562	0.123447503	2.681258061	0.26363092	1.0	0.5	0.5	-10.8	-2.0	12.7	1.2	7.9	8.196770435	2.773209632	3.544822835	0.36122	-0.30	-1.84	-4.65
0.4	0.0	0.448588169	0.66434512	0.046956815	1.532272449	0.121510086	3.442171799	0.270480625	1.0	0.5	0.5	-10.7	-2.0	12.3	1.3	7.4	8.749042201	3.025953042	3.809318684	0.36596	-0.11	-1.83	-4.50
0.53	0.0	0.50195273	0.729638149	0.041375639	1.544686398	0.118887514	5.121956486	0.283008298	1.0	0.5	0.5	-10.6	-2.0	11.7	1.3	6.8	9.584911173	3.412872821	4.211750492	0.372122	0.13	-1.82	-4.31
0.6	0.0	0.531444871	0.766767726	0.040472529	1.553143453	0.117425152	5.832505711	0.290768929	1.0	0.5	0.5	-10.5	-2.0	11.3	1.4	6.4	10.10405894	3.65577494	4.462777628	0.37544	0.26	-1.82	-4.20
0.7	0.0	0.574509345	0.822349659	0.035784818	1.569229165	0.115285878	5.630954464	0.30258753	1.0	0.5	0.5	-10.4	-2.0	10.9	1.4	5.9	10.94235147	4.050815226	4.869685545	0.38018	0.45	-1.82	-4.05
0.8	0.0	0.618583265	0.881367588	0.031824837	1.587068269	0.113163006	4.936926282	0.318182845	1.0	0.5	0.5	-10.4	-2.0	10.4	1.5	5.5	11.92244088	4.516583404	5.34756003	0.38492	0.63	-1.81	-3.90
0.9	0.0	0.664043051	0.944197894	0.027946556	1.608775452	0.110903642	4.289744763	0.337686591	1.0	0.5	0.5	-10.3	-2.0	10.0	1.5	5.0	13.0815996	5.072135744	5.915114398	0.38966	0.82	-1.81	-3.75
1	0.0	0.711504303	1.012049078	0.024370707	1.633660013	0.108490258	3.748671931	0.3633262	1.0	0.5	0.5	-10.2	-2.0	9.5	1.6	4.5	14.46419141	5.739512676	6.594725713	0.3944	1.00	-1.80	-3.60
#		Notes																					
#		1. Valley energy shifts and masses From Dec 2012 EPM Calculations; conduction deformation potentials from Adachi 2009 and S-Band EPM																					
#		"2. 6kp gamma parameters from Dec 2012 EPM calculations; a,b,d from Adachi 2009"																					
#		3. alpha non-parabolicity values are typical literature values																					
