xIn	Bandgap	Affinity	Nc300	Nv300	Permittivity
0	1.422482143	4.149958929	4.3539E+17	1.2464E+19	12.9
0.1	1.272008162	4.241300919	3.9398E+17	1.2321E+19	13.04
0.2	1.131196563	4.332581719	3.5415E+17	1.2076E+19	13.18
0.3	1.000056004	4.423796998	3.1577E+17	1.1764E+19	13.32
0.4	0.878595979	4.51494201	2.7888E+17	1.1405E+19	13.46
0.5	0.766826923	4.606011538	2.4355E+17	1.1011E+19	13.6
0.6	0.664760329	4.696999835	2.0985E+17	1.0585E+19	13.74
0.7	0.572408888	4.787900556	1.7787E+17	1.0124E+19	13.88
0.8	0.489786647	4.878706676	1.4771E+17	9.6191E+18	14.02
0.9	0.416909198	4.969410401	1.1947E+17	9.0606E+18	14.16
1	0.353793893	5.060003053	9.3301E+16	8.4354E+18	14.3
#	All params from S-Device InGaAs.par for I release				
#	Bandgap and affinity are at 300K				
