xIn	Bandgap	Affinity	Nc300	Nv300	Permittivity
0	0.72	4.06	3.6630E+18	6.4257E+18	15.7
0.1	0.62765	4.113	2.7380E+18	6.4257E+18	15.81
0.2	0.5436	4.166	1.9884E+18	6.4257E+18	15.92
0.3	0.46785	4.219	1.3952E+18	6.4257E+18	16.03
0.4	0.4004	4.272	9.3933E+17	6.4257E+18	16.14
0.5	0.34125	4.325	6.0189E+17	6.4257E+18	16.25
0.6	0.2904	4.378	3.6401E+17	6.4257E+18	16.36
0.7	0.24785	4.431	2.0702E+17	6.4257E+18	16.47
0.8	0.2136	4.484	1.1269E+17	6.4257E+18	16.58
0.9	0.18765	4.537	6.3913E+16	6.4257E+18	16.69
1	0.17	4.59	4.6663E+16	6.4257E+18	16.8
#	"Permittivity, affinity at 300K are from Ioffe"				
#	Bandgap at 300K from Adachi [2009]				
#	Nc300 and Nv300 from mdos from Ioffe				
#	"Note: These are preliminary values, will need to be refined"				
