xGe	GammaC_Eshift	L_Eshift	X_Eshift	GammaC_m	L_ml	L_mt	X_ml	X_mt	GammaC_alpha	L_alpha	X_alpha	GammaC_Xi_d	L_Xi_d	L_Xi_u	X_Xi_d	X_Xi_u	X_Xi_s	X_k0	X_M	gamma1	gamma2	gamma3	DeltaSO	a_v	b	d	Bandgap	Affinity
0	2.89956	0.9695	0	0.4086	1.6929	0.1315	0.9137	0.1958	3	0.3	0.5	-7.0	-6.58	15.13	0.77	9.17	7	0.15	1.2	4.27	0.315	1.3867	0.044	2.10	-2.2	-5.3	1.12	4.05
0.1	2.6061039	0.865282	0	0.4072	1.6862	0.1287	0.9194	0.1972	2.85	0.3	0.5	-7.0	-6.58	15.13	0.634	9.195	7	0.15	1.2	4.3722	0.35785	1.4323	0.0673	2.09	-2.196	-5.376	1.0753781	4.030247
0.2	2.3123576	0.75821	0	0.4063	1.6827	0.1257	0.9246	0.1984	2.7	0.3	0.5	-7.0	-6.58	15.13	0.498	9.22	7	0.15	1.2	4.5384	0.4281	1.5069	0.0909	2.08	-2.192	-5.452	1.0349684	4.00941
0.3	2.0183211	0.648284	0	0.4059	1.6825	0.1227	0.9294	0.1994	2.55	0.3	0.5	-7.0	-6.58	15.13	0.362	9.245	7	0.15	1.2	4.752	0.5194	1.6035	0.1148	2.07	-2.188	-5.528	0.9987709	3.987489
0.4	1.7239944	0.535504	0	0.1283	1.6856	0.1195	0.9336	0.2002	2.4	0.3	0.5	-7.0	-6.58	15.13	0.226	9.27	7	0.15	1.2	5.0146	0.6332	1.7232	0.1389	2.06	-2.184	-5.604	0.9667856	3.964484
0.5	1.4293775	0.41987	0	0.1165	1.692	0.1161	0.9375	0.2009	2.25	0.3	0.5	-7.0	-6.58	15.13	0.09	9.295	7	0.15	1.2	5.3346	0.7740	1.8705	0.1632	2.05	-2.18	-5.68	0.9390125	3.940395
0.6	1.1344704	0.301382	0	0.1041	1.7017	0.1126	0.941	0.2014	2.1	0.3	0.5	-7.0	-6.58	15.13	-0.046	9.32	7	0.15	1.2	5.7282	0.9501	2.0537	0.1879	2.04	-2.176	-5.756	0.9154516	3.915222
0.7	0.8392731	0.18004	0	0.0911	1.7144	0.1089	0.9441	0.2017	1.95	0.3	0.5	-7.0	-6.58	15.13	-0.182	9.345	7	0.15	1.2	6.2249	1.1764	2.2877	0.2128	2.03	-2.172	-5.832	0.8961029	3.888965
0.8	0.5437856	0.055844	0	0.0774	1.73	0.1051	0.947	0.2019	1.8	0.3	0.5	-7.0	-6.58	15.13	-0.318	9.37	7	0.15	1.2	6.8827	1.4818	2.6015	0.2379	2.02	-2.168	-5.908	0.8809664	3.861624
0.9	0.3192139	0	0.071206	0.063	1.7481	0.101	0.9497	0.2019	1.65	0.3	0.5	-7.0	-6.58	15.13	-0.454	9.395	7	0.15	1.2	7.8375	1.9346	3.0637	0.2633	2.01	-2.164	-5.984	0.7988361	3.904405
1	0.15305	0	0.20111	0.0478	1.7684	0.0967	0.9522	0.2018	1.5	0.3	0.5	-7.0	-6.58	15.13	-0.59	9.42	7	0.15	1.2	9.5633	2.7717	3.9133	0.289	2.00	-2.16	-6.06	0.66222	4.0048
#	Notes:																											
#	1	Masses from sband default EPM																										
#	2	alphas are typical literature values for DOS																										
#	3	"Bandgap, affinity, Eshifts from IIT Bombay EPM calibration"																										
#	4	Si Xi_d and Xi_u are Si defaults																										
#	5	"Ge Xi_d, Xi_u  are from Van De Walle"																										
#	6	Delta 2kp params are Si defaults																										
#	7	GammaC Xi_d determined from Liu PRB2004																										
