xGe	Bandgap	Affinity	Nc300	Nv300	Permittivity
0	1.12416	4.0727	2.8900E+19	3.140E+19	11.7
0.1	1.07	4.029	2.8900E+19	2.810E+19	12.15
0.2	1.03	4.021	2.8900E+19	2.500E+19	12.6
0.3	0.99	3.998	2.8900E+19	2.190E+19	13.05
0.4	0.95	3.989	2.8900E+19	1.910E+19	13.5
0.5	0.935	3.984	2.8900E+19	1.630E+19	13.95
0.6	0.915	3.938	2.8900E+19	1.370E+19	14.4
0.7	0.9	3.887	2.8900E+19	1.120E+19	14.85
0.8	0.89	3.832	2.8900E+19	9.000E+18	15.3
0.9	0.82	3.836	1.0288E+19	6.800E+18	15.75
1	0.6638	4.000	1.0288E+19	4.950E+18	16.2
#	All params from Sdevice SiliconGermanium.par				
