xIn	GammaC_Eshift	L_Eshift	X_Eshift	GammaC_m	L_ml	L_mt	X_ml	X_mt	GammaC_alpha	L_alpha	X_alpha	GammaC_Xi_d	L_Xi_d	L_Xi_u	X_Xi_d	X_Xi_u	gamma1	gamma2	gamma3	DeltaSO	a_v	b	d
0	0.0	0.081818179	0.347662106	0.040707979	1.520804897	0.143112143	0.948948166	0.234329362	1	0.5	0.5	-9.0	-3.2	17.5	1.99	6.46	12.36276725	4.28019081	5.429651688	0.740949209	0.79	-2.40	-5.40
0.1	0.0	0.16208982	0.481541896	0.036054203	1.543566434	0.139516136	0.948261512	0.225968835	1	0.5	0.5	-9.60	-3.20	17.50	1.95	6.27	13.69594012	4.925436412	6.08948683	0.74599503	0.75	-2.36	-5.40
0.2	0.0	0.238334671	0.608413979	0.032462964	1.568934494	0.136965629	0.947539999	0.219679674	1	0.5	0.5	-10.20	-3.20	17.50	1.90	6.07	15.21746118	5.674009224	6.846219305	0.751457275	0.70	-2.32	-5.40
0.3	0.0	0.310890866	0.728812974	0.02877078	1.589316843	0.135130316	0.946972736	0.215907876	1	0.5	0.5	-10.80	-3.20	17.50	1.86	5.88	16.9376821	6.530623942	7.704823514	0.757234413	0.66	-2.28	-5.40
0.4	0.0	0.384632131	0.849888563	0.025551003	1.614244781	0.133987256	0.945484935	0.215163111	1	0.5	0.5	-11.40	-3.20	17.50	1.82	5.69	19.11951628	7.626300278	8.796610263	0.763149025	0.62	-2.24	-5.40
0.5	0.0	0.451443561	0.960123832	0.02222157	1.639059839	0.134395477	0.945220464	0.217080541	1	0.5	0.5	-12.00	-3.20	17.50	1.78	5.50	21.4072496	8.778734891	9.943667344	0.769597276	0.58	-2.20	-5.40
0.6	0.0	0.520018198	1.0702848	0.020237551	1.661723713	0.135351013	0.947114177	0.220130434	1	0.5	0.5	-12.60	-3.20	17.50	1.73	5.30	24.22297046	10.20704118	11.35705336	0.776437184	0.53	-2.16	-5.40
0.7	0.0	0.582313051	1.172648844	0.017713347	1.686752114	0.137659819	0.947566721	0.222393825	1	0.5	0.5	-13.20	-3.20	17.50	1.69	5.11	26.92267128	11.58274211	12.71398552	0.784126178	0.49	-2.12	-5.40
0.8	0.0	0.642521046	1.271504651	0.015243498	1.712436618	0.141367415	0.948574122	0.224765417	1	0.5	0.5	-13.80	-3.20	17.50	1.65	4.92	29.66515131	12.98538903	14.09392798	0.792804321	0.45	-2.08	-5.40
0.9	0.0	0.700888847	1.367352543	0.013920105	1.742909763	0.146004598	0.950251676	0.230130667	1	0.5	0.5	-14.40	-3.20	17.50	1.60	4.72	32.30329263	14.34072848	15.42309331	0.802772165	0.40	-2.04	-5.40
1	0.0	0.757532997	1.460459666	0.012594934	1.770421934	0.152330942	0.952804924	0.239843654	1	0.5	0.5	-15.0	-3.2	17.5	1.56	4.53	34.66060196	15.55970709	16.61296277	0.814346348	0.36	-2.00	-5.40
#		Notes																					
#		1. Valley energy shifts and masses From Dec 2012 EPM Calculations; deformation potentials from Adachi 2009																					
#		"2. 6kp relaxed parameters from Dec 2012 EPM calculations; a,b,d from Adachi"																					
#		3. Non-parabolicity alpha values are just typical III-V values; need to refine																					
